Zone Name,Channels
Analog,"1|446.00625|N1CJ: CARLA 31 Sunset Ridge,1|446.01875|N1CJ: WIN 07 Sunset Ridge,1|447.54000|N1CJ: PAPA 03 Santiago Peak,1|145.20000|N1CJ: W6CDW Elsinore,1|146.76500|N1CJ: Catalina Two Harbors"
DMR,"5|447.54000|N1CJ: Simplex Hotspot,5|447.54000|N1CJ: Simplex Hotspot APRS,5|449.84000|N1CJ: Duplex Hotspot Slot 1,5|449.84000|N1CJ: Hotspot Duplex Slot 2,5|449.84000|N1CJ: Hotspot Duplex APRS,5|447.82500|N1CJ: AD5MT DMR TS1,5|447.14000|N1CJ: PAPA SUN TS2,5|447.14000|N1CJ: PAPA SUN APRS,5|447.82500|N1CJ: AD5MT DMR TS2,5|447.14000|N1CJ: PAPA SUN TS1"
GMRS,"6|462.55000|GMRS 01,6|462.56250|GMRS 02,6|462.57500|GMRS 03"
MURS,"7|151.82000|MURS-1,7|151.88000|MURS-2,7|151.94000|MURS-3,7|154.57000|MURS-4: Blue Dot,7|154.60000|MURS-5: Green Dot"
Marine,"8|156.05000|SEA 01:Port Operations and Comme,8|156.45000|SEA 09:Boater to Boater,8|156.80000|SEA 16:Distress Safety"
Railway,"9|160.41000|AAR-002 Canada,9|160.80000|AAR-041 Road,9|161.07000|AAR-077 Yard"
Simplex,"10|146.52000|N1CJ: 2m Calling Freq,10|446.00000|N1CJ: 70cm Calling Freq,10|146.56000|N1CJ: 2m Simplex Exercise,10|446.05000|N1CJ: 70cm Simplex Exercise,10|146.43000|N1CJ: Off-Road Frequency,10|146.56000|N1CJ: Triple Nickle,10|446.50000|N1CJ: DMR UHF Simplex Direct,10|446.50000|N1CJ: DMR UHF Simplex Slot 1,10|145.79000|N1CJ: DMR VHF Simplex Direct,10|145.79000|N1CJ: DMR VHF Simplex Slot 1"
Weather,"11|162.40000|WX-01,11|162.42500|WX-02,11|162.47500|WX-03,11|162.55000|WX-04,11|162.45000|WX-05,11|162.47500|WX-06,11|162.50000|WX-07,11|162.52500|WX-08,11|161.65000|WX-09,11|161.77500|WX-10,11|163.27500|WX-11,11|162.55000|WX-12"
